,,,,,,,,,,,,,,Type of Payment code,Vehicle Code
,,,941,Sun,Aug,22,03:22:26,2021,2031526,,,,4907,,
,,,942,Sun,Aug,22,15:53:23,2021,9116083,,,,4615,,
,,,943,Wed,Aug,18,20:21:40,2021,7924083,,,,4879,,
,,,944,Sat,Jul,31,21:33:16,2021,4362016,,,,4764,,
,,,945,Sun,Aug,15,12:30:21,2021,204123,,,,,,
,,,946,Wed,Aug,18,18:20:35,2021,5608936,,,,4185,,
,,,947,Mon,Aug,,2,00:23:19,2021,343443,,,,VC965,
,,,948,Sun,Aug,,8,15:51:53,2021,5764271,,,,,
,,,949,Sat,Aug,,7,15:02:00,2021,6893602,,,,,
,,,950,Mon,Aug,,2,21:12:08,2021,7414687,,,,,
,,,951,Sun,Aug,15,23:28:32,2021,8604341,,,,4129,,
,,,952,Wed,Aug,11,00:02:40,2021,7592309,,,,4493,,
,,,953,Tue,Aug,10,05:49:42,2021,5100235,,,,4750,,
,,,954,Wed,Aug,18,12:01:16,2021,5492657,,,,4909,,
,,,955,Tue,Aug,10,08:08:07,2021,6803375,,,,4017,,
,,,956,Sat,Aug,,7,13:59:23,2021,5996935,,,,,
,,,957,Fri,Aug,13,02:58:22,2021,2966355,,,,4600,,
,,,958,Tue,Aug,17,20:44:01,2021,5978972,,,,4519,,
,,,959,Sat,Aug,21,17:45:22,2021,2339859,,,,4270,,
,,,960,Sun,Aug,22,17:13:03,2021,6020620,,,,4832,,
,,,961,Fri,Aug,20,03:05:20,2021,7295422,,,,4560,,
,,,962,Wed,Aug,,4,17:09:40,2021,8930290,,,,,
,,,963,Fri,Jul,30,16:13:48,2021,3762534,,,,4433,,
,,,964,Sat,Aug,,7,21:13:44,2021,3793654,,,,,
,,,965,Fri,Aug,13,17:11:40,2021,5371076,,,,4448,,
,,,966,Sun,Aug,15,07:31:40,2021,2277244,,,,4624,,
,,,967,Sun,Aug,,8,02:43:23,2021,3605245,,,,,
,,,968,Wed,Aug,,4,07:43:09,2021,5880073,,,,,
,,,969,Tue,Aug,17,11:46:09,2021,655252,,,,,,
,,,970,Sat,Aug,14,11:18:31,2021,7055501,,,,4600,,
,,,971,Thu,Aug,19,04:11:04,2021,72056,,,,,VCB43,
,,,972,Thu,Aug,12,09:35:16,2021,9949523,,,,4822,,
,,,973,Fri,Aug,13,02:54:50,2021,9040939,,,,4756,,
,,,974,Sat,Aug,14,05:58:14,2021,2706769,,,,4073,,
,,,975,Thu,Jul,29,12:03:33,2021,6809169,,,,4902,,
,,,976,Wed,Aug,18,07:55:45,2021,8941091,,,,4482,,
,,,977,Tue,Aug,,3,09:41:56,2021,1740847,,,,,
,,,978,Fri,Jul,30,20:32:49,2021,3164197,,,,4611,,
,,,979,Mon,Aug,,2,00:03:52,2021,9341086,,,,,
,,,980,Sat,Jul,31,02:36:15,2021,1351100,,,,4981,,
,,,981,Fri,Aug,13,12:31:42,2021,9853531,,,,4103,,
,,,982,Wed,Aug,,4,13:25:35,2021,9172763,,,,,
,,,983,Fri,Aug,20,01:51:10,2021,3316540,,,,4620,,
,,,984,Wed,Aug,,4,15:03:49,2021,6487444,,,,,
,,,985,Wed,Aug,,4,00:16:23,2021,2853927,,,,,
,,,986,Wed,Aug,11,22:21:55,2021,9670184,,,,4828,,
,,,987,Wed,Aug,18,16:24:24,2021,3712950,,,,4535,,
,,,988,Mon,Aug,,2,08:59:53,2021,3508883,,,,,
,,,989,Sat,Aug,14,06:46:16,2021,5883500,,,,4949,,
,,,990,Sat,Aug,,7,16:49:21,2021,2657749,,,,,
,,,991,Wed,Aug,11,23:49:40,2021,8330775,,,,4885,,
,,,992,Wed,Aug,18,23:32:29,2021,9423996,,,,4833,,
,,,993,Sun,Aug,,1,02:42:51,2021,4210854,,,,,
,,,994,Thu,Aug,12,17:26:17,2021,1671308,,,,4395,,
,,,995,Mon,Aug,16,10:56:43,2021,5017354,,,,4267,,
,,,996,Wed,Aug,18,23:27:37,2021,5192039,,,,4097,,
,,,997,Fri,Aug,20,14:42:50,2021,1763724,,,,4646,,
,,,998,Sat,Jul,31,09:34:08,2021,4728276,,,,4780,,
,,,999,Sat,Aug,14,06:45:46,2021,1590634,,,,4473,,
,,1000,Sat,Aug,21,15:15:35,2021,4371246,,,,4631.0,PCFFF6463,,
,,1001,Sun,Aug,,1,03:06:17,2021,400581,,,,,,
,,1002,Sat,Aug,,7,18:40:51,2021,4936065,,,,4524,,
,,1003,Thu,Aug,,5,05:43:14,2021,771246,,,,,,
,,1004,Fri,Aug,,6,11:33:57,2021,3737235,,,,4989,,
,,1005,Fri,Aug,20,04:56:35,2021,5150627,,,,4023.0,PC77793DF,,
,,1006,Tue,Aug,,3,19:29:29,2021,846975,,,,,,
,,1007,Thu,Aug,19,21:44:49,2021,44431,,,,,,,
,,1008,Mon,Aug,,9,03:16:36,2021,704512,,,,,,
,,1009,Fri,Aug,,6,19:06:52,2021,5019748,,,,4440,,
,,1010,Sat,Jul,31,07:07:47,2021,6703039,,,,4376.0,PCA283923,,
,,1011,Sat,Aug,,7,07:51:11,2021,5100397,,,,4332,,
,,1012,Sun,Aug,15,01:41:23,2021,5467760,,,,4724.0,PC3DE08BF,,
,,1013,Wed,Aug,18,07:30:36,2021,9128803,,,,4121.0,PCEC57A8E,,
,,1014,Sat,Jul,31,02:20:01,2021,1654264,,,,4749.0,PC65C93B7,,
,,1015,Tue,Aug,,3,03:05:52,2021,4984461,,,,4640,,
,,1016,Fri,Jul,30,21:49:31,2021,7366827,,,,4103.0,PC2B868A9,,
,,1017,Thu,Aug,12,12:11:15,2021,4665816,,,,4335.0,PC76935F9,,
,,1018,Mon,Aug,,2,11:54:50,2021,523203,,,,,,
,,1019,Tue,Aug,17,05:47:57,2021,1772752,,,,4432.0,PC4CBEFF5,,
,,1020,Mon,Aug,,9,21:16:48,2021,1629261,,,,4052,,
,,1021,Wed,Aug,11,00:16:01,2021,4494921,,,,4070.0,PCEECA8B2,,
,,1022,Tue,Aug,,3,21:06:01,2021,5524917,,,,4812,,
,,1023,Fri,Aug,,6,00:17:36,2021,2575931,,,,4871,,
,,1024,Tue,Aug,10,02:16:38,2021,38837,,,,,,,
,,1025,Sun,Aug,,1,15:26:03,2021,6110896,,,,4960,,
,,1026,Thu,Aug,,5,01:06:50,2021,4906689,,,,4261,,
,,1027,Sat,Jul,31,05:17:10,2021,7655542,,,,4678.0,PCD175301,,
,,1028,Sun,Aug,22,13:23:14,2021,6713340,,,,4555.0,PC06A0237,,
,,1029,Mon,Aug,,9,14:03:52,2021,8154658,,,,4623,,
,,1030,Mon,Aug,16,12:44:40,2021,2134355,,,,4420.0,PCFDB2950,,
,,1031,Sun,Aug,,8,07:23:59,2021,8951131,,,,4063,,
,,1032,Sun,Aug,,8,20:28:35,2021,4929926,,,,4627,,
,,1033,Thu,Aug,19,07:08:20,2021,4457235,,,,4183.0,PCF5E7754,,
,,1034,Mon,Aug,16,08:19:54,2021,1832726,,,,4585.0,PCF3AE602,,
,,1035,Thu,Aug,19,18:37:23,2021,4134771,,,,4666.0,PCE8CBA37,,
,,1036,Thu,Jul,29,13:30:35,2021,2782018,,,,4842.0,PC16F5A24,,
,,1037,Thu,Aug,12,04:03:32,2021,4735037,,,,4391.0,PCCFD9AB6,,
,,1038,Sat,Aug,21,04:51:28,2021,6174121,,,,4202.0,PC65AA714,,
,,1039,Thu,Aug,19,08:00:33,2021,8173134,,,,4386.0,PC948D5B2,,
,,1040,Sun,Aug,15,00:46:13,2021,1238794,,,,4886.0,PC4D892D7,,
,,1041,Sat,Aug,14,20:24:08,2021,4397766,,,,4063.0,PC7667A3E,,
,,1042,Thu,Aug,19,17:35:57,2021,9797764,,,,4624.0,PCDF73A3C,,
,,1043,Mon,Aug,,2,22:35:16,2021,8818426,,,,4101,,
,,1044,Wed,Aug,11,15:28:59,2021,6861442,,,,4418.0,PCF6EECB2,,
,,1045,Tue,Aug,,3,23:39:22,2021,2172288,,,,4141,,
,,1046,Mon,Aug,,9,00:08:46,2021,7219802,,,,4613,,
,,1047,Mon,Aug,16,20:52:45,2021,1584903,,,,4171.0,PC36C9AE8,,
,,1048,Sat,Aug,,7,05:58:52,2021,478237,,,,,,
,,1049,Sun,Aug,,8,18:44:49,2021,6296035,,,,4240,,
,,1050,Sat,Aug,14,02:43:50,2021,530491,,,,,4359,,
,,1051,Tue,Aug,10,22:14:38,2021,2852105,,,,4522.0,PC0A326BE,,
,,1052,Fri,Jul,30,13:03:41,2021,6197707,,,,4745.0,PC6397888,,
,,1053,Fri,Aug,20,23:24:25,2021,1164872,,,,4737.0,PCED7EAFE,,
,,1054,Tue,Aug,10,04:05:40,2021,234151,,,,,4285,,
,,1055,Mon,Aug,,9,06:06:51,2021,9016853,,,,4892,,
,,1056,Sun,Aug,,8,16:03:21,2021,5903232,,,,4352,,
,,1057,Wed,Aug,18,12:13:23,2021,4337798,,,,4182.0,PC5EBB0FA,,
,,1058,Sun,Aug,15,17:22:02,2021,3868754,,,,4611.0,PC2EBEAB9,,
,,1059,Fri,Aug,20,12:22:30,2021,3530998,,,,4925.0,PCE5E04A2,,
,,1060,Tue,Aug,17,05:06:56,2021,2087513,,,,4376.0,PCA283923,,
,,1061,Mon,Aug,,2,04:16:10,2021,8767809,,,,4812,,
,,1062,Tue,Aug,10,06:01:57,2021,9300623,,,,4974.0,PCDEB8E32,,
,,1063,Sun,Aug,,1,19:19:35,2021,4987435,,,,4107,,
,,1064,Tue,Aug,,3,11:24:45,2021,1016929,,,,4853,,
,,1065,Mon,Aug,16,17:59:21,2021,1269373,,,,4856.0,PC7C042B7,,
,,1066,Tue,Aug,,3,07:04:43,2021,9147847,,,,4473,,
,,1067,Wed,Aug,,4,19:20:10,2021,9197506,,,,4003,,
,,1068,Sat,Aug,,7,19:45:04,2021,5894380,,,,4284,,
,,1069,Tue,Aug,,3,09:33:41,2021,9600014,,,,4176,,
,,1070,Thu,Aug,,5,09:08:20,2021,7343214,,,,4438,,
,,1071,Tue,Aug,10,02:47:31,2021,7020174,,,,4110.0,PCF891CEB,,
,,1072,Sat,Aug,21,04:22:12,2021,2005924,,,,4730.0,PC7DC0964,,
,,1073,Sat,Jul,31,17:23:28,2021,1511615,,,,4576.0,PC394C979,,
,,1074,Sat,Aug,,7,09:25:35,2021,3335485,,,,4820,,
,,1075,Sun,Aug,,8,23:18:49,2021,6710855,,,,4184,,
,,1076,Sat,Aug,14,21:30:28,2021,9593619,,,,4282.0,PCCE002E5,,
,,1077,Wed,Aug,,4,09:49:51,2021,9841801,,,,4435,,
,,1078,Tue,Aug,17,21:30:14,2021,3918388,,,,4921.0,PCA70760B,,
,,1079,Fri,Aug,20,06:10:27,2021,2382610,,,,4750.0,PCD987A9D,,
,,1080,Sun,Aug,,8,23:40:51,2021,1847423,,,,4954,,
,,1081,Sat,Aug,14,11:31:18,2021,5914006,,,,4321.0,PC591BDF7,,
,,1082,Sat,Aug,21,09:20:00,2021,588548,,,,,4358,,
,,1083,Fri,Jul,30,08:36:31,2021,8957113,,,,4434.0,PCA491459,,
,,1084,Mon,Aug,16,11:46:20,2021,138934,,,,,4760,,
,,1085,Sun,Aug,,8,23:18:31,2021,7639839,,,,4764,,
,,1086,Mon,Aug,,2,02:15:56,2021,6523053,,,,4917,,
,,1087,Mon,Aug,,2,20:20:17,2021,5491855,,,,4853,,
,,1088,Sat,Aug,,7,18:12:22,2021,143888,,,,,,
,,1089,Wed,Aug,11,21:43:23,2021,9613414,,,,4817.0,PCFF02057,,
,,1090,Fri,Jul,30,14:32:02,2021,5473358,,,,4924.0,PCE3427C5,,
,,1091,Sun,Aug,15,14:29:37,2021,3957882,,,,4571.0,PC2308E9E,,
,,1092,Mon,Aug,16,01:54:31,2021,8548382,,,,4528.0,PC1269226,,
,,1093,Wed,Aug,11,05:25:52,2021,6129420,,,,4052.0,PC25E70B7,,
,,1094,Sun,Aug,,1,15:03:18,2021,7354946,,,,4060,,
,,1095,Fri,Jul,30,13:48:48,2021,5861176,,,,4093.0,PC951FE7E,,
,,1096,Fri,Jul,30,21:40:17,2021,4403522,,,,4187.0,PCF8D98DC,,
,,1097,Sun,Aug,,8,12:15:42,2021,9369233,,,,4603,,
,,1098,Sat,Aug,21,20:07:42,2021,4774962,,,,4223.0,PCA37D114,,
,,1099,Sat,Jul,31,02:34:12,2021,35246,,,,,,,
,,1100,Sat,Aug,21,21:35:13,2021,3429846,,,,4702.0,PCDBC3AC9,,
,,1101,Thu,Jul,29,15:59:13,2021,3115182,,,,4058.0,PC3415EA4,,
,,1102,Sat,Aug,,7,14:39:22,2021,6829041,,,,4151,,
,,1103,Sat,Jul,31,05:00:13,2021,1617802,,,,4594.0,PC59414DA,,
,,1104,Sat,Jul,31,00:58:22,2021,4312674,,,,4601.0,PCC932802,,
,,1105,Wed,Aug,11,22:49:56,2021,4837548,,,,4129.0,PCA6127FF,,
,,1106,Thu,Aug,12,21:52:53,2021,8522262,,,,4406.0,PC7A54E18,,
,,1107,Thu,Aug,12,13:32:19,2021,8193538,,,,4834.0,PCB228987,,
,,1108,Fri,Jul,30,07:35:38,2021,6403046,,,,4517.0,PC9AF321D,,
,,1109,Thu,Aug,12,17:13:06,2021,9448584,,,,4954.0,PCA276EBB,,
,,1110,Wed,Aug,18,06:18:40,2021,6967180,,,,4443.0,PCC139BD8,,
,,1111,Tue,Aug,,3,19:07:47,2021,7988780,,,,4299,,
,,1112,Sat,Aug,14,02:38:05,2021,6501560,,,,4867.0,PC5A6D86E,,
,,1113,Wed,Aug,18,03:40:19,2021,8319440,,,,4382.0,PCB7341F4,,
,,1114,Thu,Aug,12,22:34:21,2021,9345303,,,,4551.0,PCCA5979C,,
,,1115,Thu,Aug,12,01:57:00,2021,1204264,,,,4034.0,PCFC754C7,,
,,1116,Sun,Aug,,8,05:17:17,2021,6592400,,,,4928,,
,,1117,Thu,Aug,,5,17:56:53,2021,2261364,,,,4575,,
,,1118,Wed,Aug,18,17:07:03,2021,7401340,,,,4310.0,PCC08F8BB,,
,,1119,Thu,Aug,12,02:39:17,2021,5867282,,,,4398.0,PCE60D320,,
,,1120,Mon,Aug,,2,09:15:29,2021,4332928,,,,4525,,
,,1121,Fri,Aug,20,16:21:42,2021,8163804,,,,4005.0,PCB3DF742,,
,,1122,Thu,Aug,12,17:34:46,2021,9237586,,,,4484.0,PCEF56843,,
,,1123,Tue,Aug,17,12:03:52,2021,1256864,,,,4711.0,PC340B4DE,,
,,1124,Sun,Aug,,1,21:05:43,2021,3296269,,,,4372,,
,,1125,Mon,Aug,,2,09:31:08,2021,4061730,,,,4237,,
,,1126,Thu,Aug,19,13:02:58,2021,2910362,,,,4327.0,PC16F59EC,,
,,1127,Tue,Aug,,3,15:42:40,2021,7688035,,,,4525,,
,,1128,Fri,Aug,13,06:21:38,2021,7855986,,,,4414.0,PC40BD0F3,,
,,1129,Mon,Aug,16,21:06:48,2021,4572039,,,,4759.0,PC4A6C6D9,,
,,1130,Sun,Aug,,8,21:20:56,2021,2813869,,,,4308,,
,,1131,Sun,Aug,22,15:51:51,2021,7513363,,,,4041.0,PCB566359,,
,,1132,Mon,Aug,,2,19:00:20,2021,317032,,,,,,
,,1133,Fri,Aug,13,00:37:32,2021,4787356,,,,4546.0,PCEF3EBBC,,
,,1134,Thu,Aug,19,05:25:30,2021,4364690,,,,4452.0,PC8C7C5D7,,
,,1135,Thu,Aug,19,04:25:51,2021,8706960,,,,4425.0,PC41B834E,,
,,1136,Sat,Aug,14,17:23:58,2021,4899216,,,,4571.0,PC2308E9E,,
,,1137,Sun,Aug,,8,03:32:47,2021,7708170,,,,4131,,
,,1138,Mon,Aug,16,10:08:36,2021,8185432,,,,4286.0,PC12BE494,,
,,1139,Mon,Aug,,9,22:01:40,2021,5760290,,,,4270,,
,,1140,Wed,Aug,18,20:53:08,2021,1945635,,,,4305.0,PCF4DA5CE,,
,,1141,Thu,Aug,12,22:09:58,2021,7929326,,,,4992.0,PCFF0FEB0,,
,,1142,Thu,Jul,29,21:47:12,2021,7111496,,,,4154.0,PC2C2EF9E,,
,,1143,Mon,Aug,16,18:15:47,2021,4956695,,,,4143.0,PC5F47DCF,,
,,1144,Thu,Aug,,5,17:37:44,2021,8167397,,,,4641,,
,,1145,Tue,Aug,17,06:43:51,2021,4548098,,,,4177.0,PC9194382,,
,,1146,Sat,Aug,,7,14:27:48,2021,494801,,,,,,
,,1147,Tue,Aug,,3,07:28:31,2021,1974167,,,,4619,,
,,1148,Wed,Aug,11,20:05:55,2021,8150755,,,,4114.0,PC4CD2B81,,
,,1149,Sat,Jul,31,03:03:00,2021,4949188,,,,4586.0,PC4A40D50,,
,,1150,Wed,Aug,18,22:48:57,2021,3327118,,,,4473.0,PC51FDD60,,
,,1151,Sun,Aug,,1,05:04:08,2021,1763039,,,,4924,,
,,1152,Sat,Aug,,7,03:45:59,2021,1957251,,,,4534,,
,,1153,Thu,Aug,,5,01:56:35,2021,6796843,,,,4219,,
,,1154,Sun,Aug,15,21:27:15,2021,6857822,,,,4574.0,PCC1F6F13,,
,,1155,Wed,Aug,,4,01:53:57,2021,2123282,,,,4282,,
,,1156,Tue,Aug,17,04:55:07,2021,5422200,,,,4045.0,PCE952492,,
,,1157,Fri,Aug,,6,13:31:01,2021,43451,,,,,VC965,
,,1158,Tue,Aug,,3,01:25:09,2021,8915567,,,,4189,,
,,1159,Fri,Aug,20,14:28:39,2021,1596592,,,,4246.0,PC95F5F6B,,
,,1160,Wed,Aug,,4,06:20:44,2021,238800,,,,,,
,,1161,Sat,Aug,,7,07:58:17,2021,8944988,,,,4799,,
,,1162,Fri,Jul,30,11:20:25,2021,5580702,,,,4086.0,PC23E470D,,
,,1163,Fri,Aug,13,17:15:34,2021,1134752,,,,4770.0,PC9082A17,,
,,1164,Thu,Aug,12,16:39:09,2021,9056120,,,,4126.0,PC74CE451,,
,,1165,Fri,Aug,20,13:13:44,2021,2035182,,,,4776.0,PC6906524,,
,,1166,Wed,Aug,18,10:33:02,2021,908716,,,,,4501,,
,,1167,Mon,Aug,,2,08:56:30,2021,9246548,,,,4747,,
,,1168,Fri,Jul,30,05:58:42,2021,5253540,,,,4200.0,PCBA86754,,
,,1169,Sun,Aug,,1,00:59:43,2021,7235655,,,,4788,,
,,1170,Fri,Aug,13,14:44:41,2021,1244322,,,,4830.0,PC12EEFE0,,
,,1171,Sat,Aug,14,08:48:26,2021,2579754,,,,4090.0,PC1EE951B,,
,,1172,Mon,Aug,16,18:09:33,2021,5815803,,,,4122.0,PC8ED616E,,
,,1173,Sat,Aug,14,08:49:48,2021,7081610,,,,4941.0,PCA6403C1,,
,,1174,Sat,Jul,31,02:34:21,2021,9404176,,,,4417.0,PC208F9BB,,
,,1175,Tue,Aug,,3,23:16:53,2021,4691120,,,,4567,,
,,1176,Thu,Aug,,5,10:29:06,2021,272210,,,,,,
,,1177,Thu,Aug,19,05:46:19,2021,5593523,,,,4157.0,PC7305E43,,
,,1178,Fri,Jul,30,19:44:09,2021,7851360,,,,4119.0,PC9EBEDB5,,
,,1179,Mon,Aug,,9,05:27:36,2021,6394082,,,,4452,,
,,1180,Sat,Aug,14,06:52:10,2021,5348872,,,,4799.0,PCC3A370A,,
,,1181,Sun,Aug,,8,01:57:43,2021,1158796,,,,4754,,
,,1182,Fri,Jul,30,03:39:52,2021,6438470,,,,4310.0,PCC08F8BB,,
,,1183,Sat,Aug,,7,07:21:06,2021,9551891,,,,4086,,
,,1184,Fri,Jul,30,18:08:07,2021,5991590,,,,4454.0,PC94C0945,,
,,1185,Fri,Aug,,6,03:35:18,2021,4948208,,,,4602,,
,,1186,Thu,Aug,,5,05:20:38,2021,647473,,,,,,
,,1187,Tue,Aug,,3,23:02:51,2021,282728,,,,,,
,,1188,Thu,Aug,19,23:30:32,2021,5617797,,,,4078.0,PC8473A64,,
,,1189,Wed,Aug,,4,15:55:09,2021,5130212,,,,4914,,
,,1190,Thu,Aug,,5,12:10:09,2021,9214172,,,,4068,,
,,1191,Fri,Aug,13,07:29:35,2021,3577879,,,,4924.0,PCE3427C5,,
,,1192,Wed,Aug,18,16:37:10,2021,533972,,,,,4028,,
,,1193,Mon,Aug,,9,03:44:22,2021,2701086,,,,4905,,
,,1194,Thu,Aug,12,20:24:16,2021,1451394,,,,4094.0,PC53A52CB,,
,,1195,Sat,Aug,,7,02:07:44,2021,2115064,,,,4737,,
,,1196,Sun,Aug,,8,16:13:49,2021,7080650,,,,4922,,
,,1197,Wed,Aug,11,12:47:31,2021,5315040,,,,4377.0,PC4AC8EAD,,
,,1198,Wed,Aug,,4,09:58:41,2021,774206,,,,,,
,,1199,Sat,Aug,14,21:34:04,2021,5251937,,,,4724.0,PC3DE08BF,,
,,1200,Mon,Aug,16,18:21:57,2021,3527462,,,,4451.0,PCF95BF53,,
,,1201,Fri,Aug,20,04:46:32,2021,3915562,,,,4788.0,PC00AE965,,
,,1202,Thu,Aug,19,18:34:04,2021,1787440,,,,4999.0,PCE976BA1,,
,,1203,Sat,Aug,14,22:43:37,2021,6000059,,,,4580.0,PC48664B7,,
,,1204,Sun,Aug,15,15:17:40,2021,6488906,,,,4737.0,PCED7EAFE,,
,,1205,Mon,Aug,,9,17:42:28,2021,4199888,,,,4109,,
,,1206,Fri,Aug,20,08:00:48,2021,4478840,,,,4334.0,PCCB383F8,,
,,1207,Fri,Jul,30,01:57:02,2021,2258939,,,,4757.0,PC126524C,,
,,1208,Sat,Aug,14,21:20:12,2021,4801042,,,,4430.0,PC52EA95D,,
,,1209,Thu,Aug,19,10:00:31,2021,9049206,,,,4595.0,PC64281F6,,
,,1210,Sat,Jul,31,03:47:45,2021,5186136,,,,4654.0,PCBA5D8AB,,
,,1211,Sat,Jul,31,05:58:13,2021,7895196,,,,4690.0,PC45CC19A,,
,,1212,Tue,Aug,17,20:59:55,2021,519861,,,,,4618,,
,,1213,Sun,Aug,22,14:31:48,2021,1612135,,,,4902.0,PC425C6EC,,
,,1214,Thu,Aug,19,16:21:13,2021,66070,,,,,,,
,,1215,Tue,Aug,,3,14:15:30,2021,1824791,,,,4268,,
,,1216,Sat,Aug,,7,22:45:18,2021,9968192,,,,4930,,
,,1217,Tue,Aug,10,16:42:23,2021,4576199,,,,4330.0,PCBD023A3,,
,,1218,Thu,Aug,12,17:43:42,2021,7512362,,,,4562.0,PC4C95CA2,,
,,1219,Fri,Aug,,6,09:22:14,2021,8494664,,,,4177,,
,,1220,Sun,Aug,,8,09:17:03,2021,4014284,,,,4777,,
,,1221,Sat,Aug,21,17:38:58,2021,2800193,,,,4706.0,PCD8D5094,,
,,1222,Wed,Aug,,4,19:37:13,2021,1767737,,,,4003,,
,,1223,Sun,Aug,,8,10:10:00,2021,3318987,,,,4942,,
,,1224,Wed,Aug,18,18:25:01,2021,1968422,,,,4434.0,PCA491459,,
,,1225,Tue,Aug,,3,19:23:27,2021,2667063,,,,4676,,
,,1226,Mon,Aug,,2,05:46:22,2021,4836341,,,,4584,,
,,1227,Sat,Jul,31,19:52:52,2021,8589978,,,,4145.0,PC5FBE4B8,,
,,1228,Fri,Aug,,6,20:58:43,2021,9866540,,,,4877,,
,,1229,Mon,Aug,,9,21:37:14,2021,1036367,,,,4653,,
,,1230,Fri,Jul,30,02:11:37,2021,7919663,,,,4320.0,PC40C93B0,,
,,1231,Wed,Aug,,4,20:01:01,2021,7169927,,,,4652,,
,,1232,Fri,Aug,,6,14:20:42,2021,8729449,,,,4892,,
,,1233,Thu,Jul,29,16:51:18,2021,537047,,,,,4381,,
,,1234,Sun,Aug,22,09:23:43,2021,5140704,,,,4283.0,PC953B572,,
,,1235,Sun,Aug,22,11:51:04,2021,1557166,,,,4475.0,PCCC0D001,,
,,1236,Sat,Aug,21,15:56:16,2021,24788,,,,,,,
,,1237,Thu,Jul,29,12:47:40,2021,6490383,,,,4226.0,PCDC5C9E2,,
,,1238,Tue,Aug,17,02:11:34,2021,7620919,,,,4114.0,PC4CD2B81,,
,,1239,Sun,Aug,,8,21:07:14,2021,1739602,,,,4657,,
,,1240,Wed,Aug,18,19:52:35,2021,6582414,,,,4772.0,PC7368097,,
,,1241,Sun,Aug,15,11:59:56,2021,7269886,,,,4348.0,PCD66314D,,
,,1242,Tue,Aug,,3,03:46:50,2021,377093,,,,,,
,,1243,Fri,Aug,,6,22:04:19,2021,3914663,,,,4874,,
,,1244,Sun,Aug,,1,19:38:18,2021,278357,,,,,,
,,1245,Sat,Aug,14,23:04:50,2021,4663158,,,,4140.0,PC5D4821F,,
,,1246,Tue,Aug,17,15:55:54,2021,4004280,,,,4666.0,PCE8CBA37,,
,,1247,Sat,Aug,14,00:31:14,2021,7029796,,,,4989.0,PC7D7AE48,,
,,1248,Mon,Aug,16,08:15:36,2021,1867962,,,,4317.0,PC0DC6CAB,,
,,1249,Tue,Aug,,3,02:49:13,2021,5991686,,,,4843,,
,,1250,Wed,Aug,18,05:57:05,2021,5950731,,,,4462.0,PCE29AA1A,,
,,1251,Tue,Aug,10,20:05:50,2021,538599,,,,,4769,,
,,1252,Thu,Aug,,5,08:11:14,2021,1236763,,,,4900,,
,,1253,Wed,Aug,11,17:40:42,2021,5782054,,,,4902.0,PC425C6EC,,
,,1254,Wed,Aug,,4,18:35:49,2021,5603090,,,,4177,,
,,1255,Sat,Aug,14,19:52:04,2021,9149240,,,,4656.0,PC63844BC,,
,,1256,Fri,Jul,30,05:47:44,2021,5614090,,,,4268.0,PC6CC51DA,,
,,1257,Tue,Aug,10,04:37:11,2021,2540055,,,,4548.0,PC4486317,,
,,1258,Tue,Aug,,3,17:51:34,2021,3897475,,,,4175,,
,,1259,Fri,Jul,30,23:38:10,2021,6086101,,,,4690.0,PC45CC19A,,
,,1260,Thu,Aug,19,06:45:13,2021,7114964,,,,4000.0,PC69C7DF3,,
,,1261,Fri,Aug,,6,15:38:16,2021,8448126,,,,4907,,
,,1262,Sun,Aug,22,08:27:33,2021,1716365,,,,4756.0,PC8AEC6E8,,
,,1263,Sat,Aug,21,12:35:00,2021,7244235,,,,4188.0,PCDB12C82,,
,,1264,Sat,Jul,31,17:12:23,2021,2473100,,,,4200.0,PCBA86754,,
,,1265,Fri,Aug,13,05:42:02,2021,2288753,,,,4055.0,PCA06B2F1,,
,,1266,Mon,Aug,16,23:23:51,2021,4020376,,,,4372.0,PC1E0F3B6,,
,,1267,Fri,Aug,13,15:08:31,2021,6581973,,,,4802.0,PCBDD55F1,,
,,1268,Mon,Aug,,9,09:06:46,2021,5663851,,,,4065,,
,,1269,Tue,Aug,17,11:03:26,2021,9308808,,,,4613.0,PCEBBFFB5,,
,,1270,Sun,Aug,,8,11:02:19,2021,6775483,,,,4694,,
,,1271,Sun,Aug,15,06:23:36,2021,5170181,,,,4615.0,PC1ECBA39,,
,,1272,Mon,Aug,16,23:16:26,2021,4351033,,,,4089.0,PC3CCA187,,
,,1273,Thu,Aug,,5,04:38:47,2021,1377308,,,,4428,,
,,1274,Fri,Aug,,6,21:08:36,2021,5061337,,,,4729,,
,,1275,Fri,Aug,20,18:36:52,2021,6961654,,,,4662.0,PCB2463CF,,
,,1276,Fri,Aug,,6,21:34:58,2021,4404364,,,,4302,,
,,1277,Tue,Aug,,3,16:05:51,2021,81230,,,,,VC965,
,,1278,Mon,Aug,,2,11:04:42,2021,6993501,,,,4737,,
,,1279,Thu,Aug,12,04:28:23,2021,9311011,,,,4565.0,PC388BB83,,
,,1280,Sun,Aug,22,16:17:06,2021,5787569,,,,4852.0,PC68969FB,,
,,1281,Tue,Aug,,3,08:29:39,2021,2164161,,,,4776,,
,,1282,Mon,Aug,,2,19:22:04,2021,6071867,,,,4168,,
,,1283,Mon,Aug,,9,21:27:44,2021,1517958,,,,4282,,
